userid,workshop
f48d02fd46d249ab2c37f925f405139f,Data Science: Start Here
f48d02fd46d249ab2c37f925f405139f,Getting a Job in Data Science
f4610ad445934181ac9982f6ba818907,Story Telling With Data
f4610ad445934181ac9982f6ba818907,Convolutional Neural Networks & Semantic Segmentation
f4610ad445934181ac9982f6ba818907,Machine Learning: Start Here
f3784fc5a7743ebbe9bbcfd59e909c93,Getting a Job in Data Science
f3784fc5a7743ebbe9bbcfd59e909c93,Natural Language Processing
f0ab166097c6f21418329b3302c13a14,Data Science: Start Here
e86097e3762488fc8a9a4405c2f0f042,Data Science: Start Here
e86097e3762488fc8a9a4405c2f0f042,Natural Language Processing
e722c355a4634ae3b3d5d28a9b269df0,Hacking Unsupervised Clustering Algorithms
e722c355a4634ae3b3d5d28a9b269df0,Natural Language Processing
e6948af57608b016872b89ddf9a27d21,Story Telling With Data
e6948af57608b016872b89ddf9a27d21,Convolutional Neural Networks & Semantic Segmentation
e6948af57608b016872b89ddf9a27d21,Getting a Job in Data Science
e6948af57608b016872b89ddf9a27d21,Hacking Unsupervised Clustering Algorithms
e6948af57608b016872b89ddf9a27d21,Natural Language Processing
e6948af57608b016872b89ddf9a27d21,Model Interpretability
e615012934230752be043a4222053775,Getting a Job in Data Science
e58ca778efa6c8211c039852387ef5b9,Getting a Job in Data Science
e4174b2e3330c473c4bd2ebe5fea99b6,Data Science: Start Here
e4174b2e3330c473c4bd2ebe5fea99b6,Machine Learning: Start Here
dfb68609429102491b446bfc687d97f6,Data Science: Start Here
d72392f69a271e4f95dbead8be134f69,Hacking Unsupervised Clustering Algorithms
d59d1cb82813166473dadfd9d5e7a3e9,Data Science: Start Here
d59d1cb82813166473dadfd9d5e7a3e9,Getting a Job in Data Science
d59d1cb82813166473dadfd9d5e7a3e9,Machine Learning: Start Here
d36d9a577b717499495ab522fe975d3a,Data Science: Start Here
ccaafa3703f8770fe73c013d70876aab,Data Science: Start Here
ccaafa3703f8770fe73c013d70876aab,Machine Learning: Start Here
c9289d0d3dfba200d31259e2f066265a,Data Science: Start Here
c9289d0d3dfba200d31259e2f066265a,Getting a Job in Data Science
c9289d0d3dfba200d31259e2f066265a,Machine Learning: Start Here
bf464b0fc4b727e90a5381975795d653,Data Science: Start Here
bf464b0fc4b727e90a5381975795d653,Getting a Job in Data Science
be2dd868c5f2a3532d428017381bb5fc,Data Science: Start Here
be2dd868c5f2a3532d428017381bb5fc,Getting a Job in Data Science
be2dd868c5f2a3532d428017381bb5fc,Hacking Unsupervised Clustering Algorithms
bcb059d77deb1a30c7ecbab3a74e2488,Convolutional Neural Networks & Semantic Segmentation
bcb059d77deb1a30c7ecbab3a74e2488,Data Science: Start Here
bcb059d77deb1a30c7ecbab3a74e2488,Getting a Job in Data Science
bcb059d77deb1a30c7ecbab3a74e2488,Machine Learning: Start Here
bcb059d77deb1a30c7ecbab3a74e2488,Model Interpretability
bb74ef1efa388b0082c81e6d4b2928a1,Convolutional Neural Networks & Semantic Segmentation
bb74ef1efa388b0082c81e6d4b2928a1,Data Science: Start Here
bb74ef1efa388b0082c81e6d4b2928a1,Getting a Job in Data Science
bb74ef1efa388b0082c81e6d4b2928a1,Natural Language Processing
bb74ef1efa388b0082c81e6d4b2928a1,Machine Learning: Start Here
b96bf6b7708107fe7b1cb658293def11,Story Telling With Data
b96bf6b7708107fe7b1cb658293def11,Convolutional Neural Networks & Semantic Segmentation
b96bf6b7708107fe7b1cb658293def11,Hacking Unsupervised Clustering Algorithms
b96bf6b7708107fe7b1cb658293def11,Natural Language Processing
b96bf6b7708107fe7b1cb658293def11,Model Interpretability
b8c73e4b8393f3427c9843c926e0723b,Convolutional Neural Networks & Semantic Segmentation
b8c73e4b8393f3427c9843c926e0723b,Getting a Job in Data Science
b8c73e4b8393f3427c9843c926e0723b,Hacking Unsupervised Clustering Algorithms
b8c73e4b8393f3427c9843c926e0723b,Natural Language Processing
b8c73e4b8393f3427c9843c926e0723b,Model Interpretability
b3bae2ca69956ca44e55481737ba534c,Data Science: Start Here
b3bae2ca69956ca44e55481737ba534c,Machine Learning: Start Here
b0e329a340e534ed4c14c241e09b9b19,Story Telling With Data
b0e329a340e534ed4c14c241e09b9b19,Convolutional Neural Networks & Semantic Segmentation
b0e329a340e534ed4c14c241e09b9b19,Model Interpretability
aa513935e9efc58cb0580d0ee83b4144,Story Telling With Data
aa513935e9efc58cb0580d0ee83b4144,Data Science: Start Here
aa513935e9efc58cb0580d0ee83b4144,Getting a Job in Data Science
aa513935e9efc58cb0580d0ee83b4144,Machine Learning: Start Here
a8e60ea4d4ff210072d64b7055c531c1,Convolutional Neural Networks & Semantic Segmentation
a8e60ea4d4ff210072d64b7055c531c1,Hacking Unsupervised Clustering Algorithms
a8e60ea4d4ff210072d64b7055c531c1,Natural Language Processing
a8e60ea4d4ff210072d64b7055c531c1,Model Interpretability
a6aba696f76c6c680feef1316b8a9bd5,Data Science: Start Here
a6aba696f76c6c680feef1316b8a9bd5,Getting a Job in Data Science
a5cee2a621666d9629ebd4d45b1994a1,Hacking Unsupervised Clustering Algorithms
a5cee2a621666d9629ebd4d45b1994a1,Natural Language Processing
a26e8722e1f3a0874c13aa5aea6625d7,Data Science: Start Here
a26e8722e1f3a0874c13aa5aea6625d7,Getting a Job in Data Science
a056f496036b7da5f5954312526d0e2a,Story Telling With Data
a056f496036b7da5f5954312526d0e2a,Data Science: Start Here
a056f496036b7da5f5954312526d0e2a,Getting a Job in Data Science
a056f496036b7da5f5954312526d0e2a,Model Interpretability
99716f5c5c9c2fae8e1d3b4f8c42ad17,Natural Language Processing
95030aef3e970680d882f1527f549d9e,Data Science: Start Here
95030aef3e970680d882f1527f549d9e,Getting a Job in Data Science
95030aef3e970680d882f1527f549d9e,Machine Learning: Start Here
92a2f43ffad88595bd385913540e42b7,Story Telling With Data
92a2f43ffad88595bd385913540e42b7,Convolutional Neural Networks & Semantic Segmentation
92a2f43ffad88595bd385913540e42b7,Data Science: Start Here
92a2f43ffad88595bd385913540e42b7,Getting a Job in Data Science
92a2f43ffad88595bd385913540e42b7,Natural Language Processing
92a2f43ffad88595bd385913540e42b7,Machine Learning: Start Here
92a2f43ffad88595bd385913540e42b7,Model Interpretability
913ce61a5e985961bc6a961fcb332fa2,Machine Learning: Start Here
903e13ee7f7653e40f0444209d0ebfe5,Data Science: Start Here
903e13ee7f7653e40f0444209d0ebfe5,Getting a Job in Data Science
8df37f20eb5828f2a6499c38ef0b50d0,Story Telling With Data
8df37f20eb5828f2a6499c38ef0b50d0,Data Science: Start Here
8df37f20eb5828f2a6499c38ef0b50d0,Natural Language Processing
8df37f20eb5828f2a6499c38ef0b50d0,Model Interpretability
8dd56e6b98cedca2c6fd1f4fe774ad1c,Data Science: Start Here
8ac20367f663be7f89bb26e1b50820f4,Data Science: Start Here
